StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon,Walk Score
WA,Tacoma,5370000-53053060200,5370000,53053060200,25.3,1793,47.265949387,-122.408664055,2
WA,Bellingham,5305280-53073001202,5305280,53073001202,22.2,1641,48.7047422734,-122.483886941,8
WA,Spokane,5367000-53063011101,5367000,53063011101,33.6,5744,47.722285249,-117.403297451,73
WA,Seattle,5363000-53033005400,5363000,53033005400,19.4,4948,47.6492010434,-122.338588065,84
WA,Vancouver,5374060-53011041201,5374060,53011041201,28.6,6339,45.6095083877,-122.565258068,10
WA,Seattle,5363000-53033026500,5363000,53033026500,27.7,81,47.5173900561,-122.334279679,20
WA,Vancouver,5374060-53011041317,5374060,53011041317,29.8,4080,45.6322016278,-122.55246743,5
WA,Everett,5322640-53061041904,5322640,53061041904,35.8,5600,47.9167722586,-122.238876706,61
WA,Kent,5335415-53033031703,5335415,53033031703,24.2,6156,47.3712128047,-122.152777052,5
WA,Renton,5357745-53033025301,5357745,53033025301,22.6,5004,47.5052835848,-122.202012377,39
WA,Seattle,5363000-53033010300,5363000,53033010300,28.0,5940,47.5541364991,-122.282639137,90
WA,Seattle,5363000-53033001500,5363000,53033001500,21.0,2454,47.696982458,-122.396024745,18
WA,Bellevue,5305210-53033023000,5305210,53033023000,20.4,5190,47.6205716865,-122.101363184,16
WA,Renton,5357745-53033031907,5357745,53033031907,20.7,1758,47.4634868035,-122.139659,20
WA,Renton,5357745-53033025601,5357745,53033025601,22.7,4941,47.4827525585,-122.174868976,2
WA,Spokane Valley,5367167-53063012702,5367167,53063012702,29.9,2139,47.6369858976,-117.225264603,35
WA,Bellevue,5305210-53033024000,5305210,53033024000,18.8,7596,47.6272503519,-122.20356776,65
WA,Tacoma,5370000-53053061602,5370000,53053061602,30.8,956,47.2401482764,-122.437742973,70
WA,Vancouver,5374060-53011041110,5374060,53011041110,29.3,871,45.6475358688,-122.624422305,19
WA,Federal Way,5323515-53033030403,5323515,53033030403,22.3,1148,47.2688405946,-122.31141795,15
WA,Bellevue,5305210-53033023601,5305210,53033023601,19.3,3812,47.6104589557,-122.171913884,38
WA,Seattle,5363000-53033004600,5363000,53033004600,20.7,3251,47.6740240692,-122.33776343,38
WA,Seattle,5363000-53033009800,5363000,53033009800,22.4,6198,47.5719550953,-122.383094045,86
WA,Spokane,5367000-53063003200,5367000,53063003200,29.6,2566,47.6492993288,-117.414633807,74
WA,Bellevue,5305210-53033023500,5305210,53033023500,19.7,3667,47.5913829094,-122.172860125,22
WA,Kent,5335415-53033029305,5335415,53033029305,23.3,965,47.4205627295,-122.215156658,20
WA,Vancouver,5374060-53011042800,5374060,53011042800,29.4,2772,45.6235144897,-122.623687281,24
WA,Spokane,5367000-53063004800,5367000,53063004800,28.1,2638,47.6148812859,-117.357565323,28
WA,Kennewick,5335275-53005011402,5335275,53005011402,29.1,3988,46.1798817524,-119.122920625,6
WA,Federal Way,5323515-53033030312,5323515,53033030312,25.9,4736,47.2932146699,-122.368214767,33
WA,Vancouver,5374060-53011042700,5374060,53011042700,36.6,4320,45.6337489257,-122.632874754,50
WA,Seattle,5363000-53033000100,5363000,53033000100,25.4,6255,47.7262542256,-122.282375824,44
WA,Seattle,5363000-53033006100,5363000,53033006100,18.9,4796,47.6448103124,-122.322183742,80
WA,Auburn,5303180-53033031205,5303180,53033031205,23.7,6673,47.327709245,-122.177869079,19
WA,Spokane Valley,5367167-53063012902,5367167,53063012902,31.7,6499,47.644341682,-117.207784948,12
WA,Renton,5357745-53033025702,5357745,53033025702,23.2,2445,47.4659159278,-122.167111727,11
WA,Seattle,5363000-53033000401,5363000,53033000401,25.4,5551,47.7289439181,-122.352671867,47
WA,Bellevue,5305210-53033023900,5305210,53033023900,21.0,6625,47.5829217087,-122.200386905,21
WA,Vancouver,5374060-53011041203,5374060,53011041203,28.9,4543,45.6458378083,-122.581803434,28
WA,Auburn,5303180-53033030802,5303180,53033030802,28.4,3683,47.2860459207,-122.213723652,53
WA,Seattle,5363000-53033000600,5363000,53033000600,21.5,7626,47.7179170149,-122.332531521,38
WA,Tacoma,5370000-53053063501,5370000,53053063501,32.4,4164,47.1863864272,-122.452402835,51
WA,Bellevue,5305210-53033024800,5305210,53033024800,17.8,2480,47.5746783747,-122.159590106,51
WA,Yakima,5380010-53077000600,5380010,53077000600,41.5,6953,46.6074848721,-120.522678389,65
WA,Seattle,5363000-53033008002,5363000,53033008002,27.0,3013,47.6120870844,-122.345259193,97
WA,Bellevue,5305210-53033023201,5305210,53033023201,15.7,6223,47.6186066422,-122.137540888,72
WA,Seattle,5363000-53033001600,5363000,53033001600,21.5,4131,47.7006591551,-122.382499903,41
WA,Tacoma,5370000-53053062600,5370000,53053062600,32.3,2977,47.2197411935,-122.476115763,77
WA,Kennewick,5335275-53005011504,5335275,53005011504,30.1,2312,46.1673511631,-119.125996108,0
WA,Spokane,5367000-53063000500,5367000,53063000500,32.8,3403,47.7078708569,-117.418497323,70
WA,Spokane,5367000-53063013600,5367000,53063013600,30.2,1196,47.6280869438,-117.457213871,0
