State,CityName,UniqueID,CityFIPS,TractFIPS,ObesityScore,Lat,Lon,WalkScore
TX,San Antonio,4865000-48029171401,4865000,48029171401,39.3,29.44129402,-98.59473626,15
TX,Houston,4835000-48201211000,4835000,48201211000,44.9,29.79708736,-95.33217041,53
TX,Round Rock,4863500-48491020806,4863500,48491020806,36.7,30.54478332,-97.61111841,12
TX,Austin,4805000-48453002435,4805000,48453002435,32.1,30.1602267,-97.64060425,16
TX,Fort Worth,4827000-48439105406,4827000,48439105406,24.2,32.69812116,-97.4252853,34
TX,McAllen,4845384-48215020726,4845384,48215020726,37.9,26.22837733,-98.26272784,21
TX,Mesquite,4847892-48113018129,4847892,48113018129,20.3,32.83827468,-96.61139497,16
TX,Houston,4835000-48201550401,4835000,48201550401,38.6,30.00105318,-95.46805866,17
TX,Waco,4876000-48309000400,4876000,48309000400,30.9,31.54299211,-97.12680684,59
TX,Arlington,4804000-48439111310,4804000,48439111310,30.7,32.60795983,-97.08973394,12
TX,Sugar Land,4870808-48157674000,4870808,48157674000,20.2,29.58641215,-95.61995424,58
TX,Houston,4835000-48201222501,4835000,48201222501,41.9,29.9283143,-95.40583971,61
TX,Allen,4801924-48085031410,4801924,48085031410,26.9,33.09181282,-96.64410841,35
TX,Wichita Falls,4879000-48485010100,4879000,48485010100,43.4,33.90360039,-98.48589611,55
TX,Houston,4835000-48201210700,4835000,48201210700,41.8,29.80672546,-95.35352668,57
TX,Irving,4837000-48113014901,4837000,48113014901,37.2,32.8118209,-96.95498552,73
TX,Dallas,4819000-48113000100,4819000,48113000100,24.7,32.8162785,-96.73696979,49
TX,Fort Worth,4827000-48439114008,4827000,48439114008,30.5,32.85459867,-97.39077484,27
TX,Dallas,4819000-48113001800,4819000,48113001800,18.2,32.80019347,-96.80362944,95
TX,Dallas,4819000-48113011103,4819000,48113011103,40.9,32.66821881,-96.83103151,19
TX,Waco,4876000-48309003708,4876000,48309003708,28.5,31.46335006,-97.2214059,5
TX,Lubbock,4845000-48303000605,4845000,48303000605,29.2,33.58842559,-101.8585983,80
TX,Dallas,4819000-48113004900,4819000,48113004900,46.7,32.73656988,-96.80511695,33
TX,Plano,4858016-48085031613,4858016,48085031613,25.3,33.04901683,-96.74262088,33
TX,Garland,4829000-48113018123,4829000,48113018123,27.2,32.94833474,-96.60752739,43
TX,Fort Worth,4827000-48439104100,4827000,48439104100,29.9,32.72322038,-97.33765547,77
TX,Corpus Christi,4817000-48355003203,4817000,48355003203,36.9,27.69372349,-97.35354421,43
TX,San Antonio,4865000-48029120501,4865000,48029120501,34,29.48301034,-98.41337654,34
TX,Denton,4819972-48121021304,4819972,48121021304,25.7,33.1741364,-97.13086173,2
TX,Houston,4835000-48201220400,4835000,48201220400,38.6,29.8330379,-95.36608543,52
TX,Houston,4835000-48201534003,4835000,48201534003,32.8,29.92930303,-95.50828422,49
TX,Houston,4835000-48201534001,4835000,48201534001,38.7,29.91576071,-95.49092688,64
TX,Pharr,4857200-48215021600,4857200,48215021600,41.8,26.20160053,-98.18046452,64
TX,Plano,4858016-48085032004,4858016,48085032004,31.4,33.02345002,-96.6728433,36
TX,San Antonio,4865000-48029170800,4865000,48029170800,44.7,29.43426816,-98.54779025,60
TX,San Antonio,4865000-48029181004,4865000,48029181004,26,29.51277229,-98.55977399,40
TX,Dallas,4819000-48113004000,4819000,48113004000,46.9,32.74596054,-96.76642655,29
TX,Killeen,4839148-48027022101,4839148,48027022101,34.6,31.12511297,-97.69953294,58
TX,El Paso,4824000-48141000208,4824000,48141000208,37.3,31.91805558,-106.386,2
TX,Houston,4835000-48201330700,4835000,48201330700,40.8,29.60030217,-95.45462507,19
TX,Pasadena,4856000-48201324000,4856000,48201324000,27.8,29.64816058,-95.16675808,64
TX,Baytown,4806128-48201254000,4806128,48201254000,34.3,29.73494255,-94.94275587,9
TX,San Antonio,4865000-48029171917,4865000,48029171917,28.8,29.44176098,-98.69970239,34
TX,San Antonio,4865000-48029171700,4865000,48029171700,36.4,29.43558448,-98.62726157,10
TX,Dallas,4819000-48113013623,4819000,48113013623,32.5,32.94235258,-96.80810955,39
TX,Houston,4835000-48201422100,4835000,48201422100,30.5,29.64834917,-95.48706673,42
TX,Mesquite,4847892-48113017202,4847892,48113017202,34.7,32.74634433,-96.60685575,34
TX,Lubbock,4845000-48303010408,4845000,48303010408,27.7,33.49101545,-101.9596359,6
TX,Dallas,4819000-48113010805,4819000,48113010805,39.2,32.71152495,-96.87941428,38
TX,San Antonio,4865000-48029180101,4865000,48029180101,32.3,29.45933222,-98.53659613,30
TX,Fort Worth,4827000-48439104202,4827000,48439104202,27.6,32.69471877,-97.36910543,63
TX,Longview,4843888-48183000700,4843888,48183000700,32.2,32.52963939,-94.79714034,35
TX,Irving,4837000-48113014137,4837000,48113014137,18,32.89310113,-96.94658482,22
TX,Corpus Christi,4817000-48355002703,4817000,48355002703,35.8,27.70766547,-97.35206235,44
TX,Plano,4858016-48085031649,4858016,48085031649,23.5,33.02065614,-96.81546991,15
TX,Mesquite,4847892-48113018104,4847892,48113018104,28.4,32.78043201,-96.57974376,5
TX,Wichita Falls,4879000-48485010800,4879000,48485010800,37.8,33.89475441,-98.5201814,55
TX,Dallas,4819000-48113019900,4819000,48113019900,37.2,32.73113147,-96.89012979,57
TX,Grand Prairie,4830464-48113016302,4830464,48113016302,34.3,32.71547684,-96.99003556,47
TX,Houston,4835000-48201411501,4835000,48201411501,21,29.73549168,-95.44222574,89
TX,Laredo,4841464-48479001807,4841464,48479001807,39.9,27.43403448,-99.48623657,9
TX,League City,4841980-48167721300,4841980,48167721300,29.1,29.52040069,-95.08453763,44
TX,League City,4841980-48167721500,4841980,48167721500,26.8,29.5479716,-95.05916968,32
TX,Austin,4805000-48453002423,4805000,48453002423,27.4,30.17974937,-97.80622648,22
TX,El Paso,4824000-48141001502,4824000,48141001502,26.8,31.77611871,-106.4996825,90
TX,Houston,4835000-48201321200,4835000,48201321200,40.5,29.63453033,-95.20067501,4
TX,League City,4841980-48167721201,4841980,48167721201,28.1,29.5123187,-95.05599546,2
TX,League City,4841980-48167721202,4841980,48167721202,28,29.50253171,-95.02875179,3
TX,League City,4841980-48167720600,4841980,48167720600,28.5,29.45282409,-95.14839833,0
TX,League City,4841980-48167720503,4841980,48167720503,26.1,29.47984283,-95.15030816,16
TX,League City,4841980-48167720700,4841980,48167720700,26.5,29.49228874,-95.09258855,18
TX,League City,4841980-48201350802,4841980,48201350802,24.2,29.51106055,-95.14478495,3
TX,League City,4841980-48167720502,4841980,48167720502,30.5,29.48402749,-95.11705049,34
TX,League City,4841980-48167720800,4841980,48167720800,32.1,29.46944676,-95.08044495,27
TX,League City,4841980-48167721400,4841980,48167721400,27.3,29.53303601,-95.05400347,27
