State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon
TX,Grand Prairie,4830464-48439111538,4830464,48439111538,31.6,32.6712555,-97.04828552
TX,Bryan,4810912-48041000700,4810912,48041000700,33.6,30.6688987,-96.36478644
TX,San Antonio,4865000-48029121802,4865000,48029121802,32,29.57413625,-98.35701234
TX,Mesquite,4847892-48113017400,4847892,48113017400,33,32.75547829,-96.59116762
TX,Houston,4835000-48201343600,4835000,48201343600,,29.74453009,-95.07678167
TX,Mission,4848768-48215020204,4848768,48215020204,37.9,26.23621754,-98.33473391
TX,Houston,4835000-48201432500,4835000,48201432500,36.2,29.72456175,-95.5298849
TX,Frisco,4827684-48085030505,4827684,48085030505,22.6,33.1083654,-96.81484856
TX,Edinburg,4822660-48215023801,4822660,48215023801,35.5,26.26513712,-98.16252527
TX,Dallas,4819000-48113008603,4819000,48113008603,44.6,32.72643,-96.76830629
TX,Odessa,4853388-48135000600,4853388,48135000600,35.4,31.87683179,-102.3745648
TX,San Antonio,4865000-48029161501,4865000,48029161501,35.2,29.36479221,-98.6074114
TX,Houston,4835000-48157672701,4835000,48157672701,,29.67031008,-95.6466375
TX,Round Rock,4863500-48491020602,4863500,48491020602,34.8,30.52463477,-97.69941352
TX,Houston,4835000-48201530300,4835000,48201530300,44.9,29.81752564,-95.38878528
TX,Lubbock,4845000-48303001705,4845000,48303001705,27.3,33.52862848,-101.9313795
TX,Austin,4805000-48453000901,4805000,48453000901,25.7,30.26556799,-97.72374012
TX,Dallas,4819000-48113007804,4819000,48113007804,36,32.91569225,-96.75700978
TX,Houston,4835000-48201531400,4835000,48201531400,29.1,29.83020301,-95.47099519
TX,Amarillo,4803000-48381020300,4803000,48381020300,30.1,35.18055789,-101.8750168
TX,Tyler,4874144-48423001300,4874144,48423001300,30.1,32.32984416,-95.25941877
TX,Frisco,4827684-48085030408,4827684,48085030408,29.9,33.15317423,-96.82672012
TX,Houston,4835000-48201221200,4835000,48201221200,37.8,29.86459529,-95.37403474
TX,El Paso,4824000-48141000109,4824000,48141000109,39.5,31.90993996,-106.4155944
TX,Richardson,4861796-48113019205,4861796,48113019205,22.3,32.97238618,-96.76248792
TX,Houston,4835000-48201233102,4835000,48201233102,,29.78001729,-95.16354886
TX,Dallas,4819000-48113013102,4819000,48113013102,22.5,32.88740247,-96.78227096
TX,El Paso,4824000-48141001700,4824000,48141001700,44.9,31.7595553,-106.4874228
TX,Austin,4805000-48453002003,4805000,48453002003,29.6,30.2190129,-97.77472825
TX,Lubbock,4845000-48303002101,4845000,48303002101,30.3,33.53904735,-101.8790579
TX,Houston,4835000-48201321100,4835000,48201321100,32,29.62160039,-95.20922851
TX,Austin,4805000-48453001716,4805000,48453001716,19.8,30.3892679,-97.80295035
TX,College Station,4815976-48041002009,4815976,48041002009,22.5,30.56750838,-96.24517666
TX,Arlington,4804000-48439111523,4804000,48439111523,35,32.68466114,-97.07901429
TX,San Antonio,4865000-48029980100,4865000,48029980100,22,29.3834099,-98.57259466
TX,Frisco,4827684-48121020109,4827684,48121020109,23.2,33.19153782,-96.86157175
TX,San Antonio,4865000-48029190501,4865000,48029190501,32.4,29.46014081,-98.5199436
TX,Garland,4829000-48113019014,4829000,48113019014,35,32.92385344,-96.67418052
TX,Baytown,4806128-48201254500,4806128,48201254500,38.5,29.73479541,-94.99673926
TX,Abilene,4801000-48441011600,4801000,48441011600,32.8,32.4377429,-99.75118416
TX,Houston,4835000-48201340600,4835000,48201340600,24.6,29.57586315,-95.13125243
TX,Fort Worth,4827000-48439104802,4827000,48439104802,36.8,32.67783935,-97.35134063
TX,Pasadena,4856000-48201342001,4856000,48201342001,25.7,29.64125322,-95.12909431
TX,Austin,4805000-48453001908,4805000,48453001908,21.8,30.26736162,-97.89175276
TX,Odessa,4853388-48135002300,4853388,48135002300,29.3,31.86651308,-102.3192785
TX,Corpus Christi,4817000-48355002602,4817000,48355002602,38.9,27.71368573,-97.36758226
TX,Houston,4835000-48201330302,4835000,48201330302,38.4,29.61594831,-95.47685627
