StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon
FL,Miami,1245000-12086005407,1245000,12086005407,31.9,2331,25.7688784348,-80.2348970930
DC,Washington,1150000-11001006202,1150000,11001006202,,33,38.8805272496,-77.0353827912
NC,Winston-Salem,3775000-37067002604,3775000,37067002604,28.2,6361,36.1495076738,-80.3361989495
IL,Naperville,1751622-17043846207,1751622,17043846207,22.9,5451,41.7362301417,-88.1408016180
NM,Las Cruces,3539380-35013000500,3539380,35013000500,31.3,2888,32.3119972348,-106.7881203910
NY,Schenectady,3665508-36093033500,3665508,36093033500,30,1975,42.8092608256,-73.9571178641
IL,Chicago,1714000-17031260900,1714000,17031260900,43.9,1480,41.8710297344,-87.7228141482
VA,Richmond,5167000-51760070601,5167000,51760070601,39,5660,37.4999850944,-77.4928828439
UT,West Jordan,4982950-49035114300,4982950,49035114300,26,14563,40.6076192009,-112.0206126500
TX,Midland,4848072-48329000402,4848072,48329000402,32.1,4754,31.9967699853,-102.1263370220
WA,Bellevue,5305210-53033023202,5305210,53033023202,22.7,4345,47.6179635713,-122.1270727640
WA,Everett,5322640-53061041606,5322640,53061041606,26.8,2366,47.8872312943,-122.2032876490
MI,Southfield,2674900-26125161700,2674900,26125161700,36.3,2710,42.4641683579,-83.2986688300
NY,New York,3651000-36081004401,3651000,36081004401,23.1,3500,40.6771616126,-73.8593737034
NY,New York,3651000-36047026800,3651000,36047026800,22.1,4188,40.6104493978,-73.9903619790
NM,Las Cruces,3539380-35013001307,3539380,35013001307,27.4,130,32.4076473805,-106.7443009140
CA,Hayward,0633000-06001437900,633000,6001437900,26.1,2338,37.6428260807,-122.0613105210
TX,Houston,4835000-48201232702,4835000,48201232702,39.5,5217,29.7851128263,-95.2129773748
MA,Boston,2507000-25025081100,2507000,25025081100,21,4091,42.3283905771,-71.1074807597
CA,Menifee,0646842-06065042709,646842,6065042709,27,4905,33.7138064447,-117.2152747190
CO,Denver,0820000-08031003701,820000,8031003701,15.9,2907,39.7456230347,-104.9501702410
IA,Davenport,1919000-19163012200,1919000,19163012200,34.5,2210,41.5148539089,-90.6224767454
CA,Los Angeles,0644000-06037125320,644000,6037125320,24.7,4843,34.1666764465,-118.3701944240
TX,Laredo,4841464-48479000700,4841464,48479000700,43.3,2786,27.5166753768,-99.5064105751
GA,Athens,1303440-13059002200,1303440,13059002200,20.8,2167,33.9281046814,-83.3848303245
NY,New York,3651000-36005045800,3651000,36005045800,41.2,6123,40.8858611300,-73.8452027372
MA,Worcester,2582000-25027730700,2582000,25027730700,25.7,6803,42.2838703861,-71.8600013227
KY,Louisville,2148006-21111004600,2148006,21111004600,30.7,3803,38.1756582772,-85.7734027708
CA,Huntington Beach,0636000-06059099239,636000,6059099239,18.1,3924,33.6460621149,-117.9666226580
MI,Warren,2684000-26099268300,2684000,26099268300,43,2989,42.4563316881,-82.9916094775
GA,Macon,1349000-13021010100,1349000,13021010100,50.9,1657,32.8465208650,-83.6454864791
TX,Houston,4835000-48201450400,4835000,48201450400,25.9,4503,29.7788804596,-95.6132558545
IL,Chicago,1714000-17031611900,1714000,17031611900,43.8,2045,41.7977430833,-87.6598226392
