StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon,Walk Score
CA,Fairfield,0623182-06095252312,623182,6095252312,25.1,3368,38.2753542898,-122.056169827,45
CA,Mission Viejo,0648256-06059032038,648256,6059032038,17.4,6602,33.5940420343,-117.646521164,21
CA,San Diego,0666000-06073009805,666000,6073009805,21.1,4715,32.8156079186,-117.034355272,0
CA,San Francisco,0667000-06075013102,667000,6075013102,16.5,2625,37.7926193341,-122.427429371,93
CA,Los Angeles,0644000-06037117407,644000,6037117407,36.8,3636,34.2301059395,-118.470311654,69
CA,Palmdale,0655156-06037910302,655156,6037910302,23.1,6387,34.6230106917,-118.221315592,23
CA,Modesto,0648354-06099000504,648354,6099000504,24.7,8628,37.6983525984,-121.03859189,17
CA,Los Angeles,0644000-06037271100,644000,6037271100,21.2,2449,34.0339124988,-118.426813123,40
CA,Long Beach,0643000-06037577100,643000,6037577100,22.5,6700,33.7707927189,-118.148064874,89
CA,Richmond,0660620-06013382000,660620,6013382000,39.1,6964,37.9159918634,-122.322998514,58
CA,Los Angeles,0644000-06037273100,644000,6037273100,21.4,2197,34.0034840136,-118.459799779,48
CA,Sacramento,0664000-06067006600,664000,6067006600,33.9,6166,38.6251653817,-121.440921583,50
CA,Pasadena,0656000-06037463000,656000,6037463000,18.5,2228,34.1552247519,-118.075179108,63
CA,Berkeley,0606000-06001421200,606000,6001421200,17.6,3563,37.8973388885,-122.274744448,56
CA,Los Angeles,0644000-06037262601,644000,6037262601,18.9,3660,34.0737772726,-118.555525643,14
CA,Clovis,0614218-06019005606,614218,6019005606,24.1,3847,36.8302985105,-119.721464502,19
CA,Oakland,0653000-06001406602,653000,6001406602,26.1,2493,37.7964782251,-122.214307233,90
CA,El Cajon,0621712-06073015301,621712,6073015301,27.4,3179,32.7840225564,-116.957985334,69
CA,Long Beach,0643000-06037576401,643000,6037576401,34.1,4779,33.7789740388,-118.178505832,92
CA,Moreno Valley,0649270-06065046700,649270,6065046700,34.0,3280,33.915786002,-117.26982403,74
CA,Alhambra,0600884-06037480304,600884,6037480304,17.2,4098,34.0961676852,-118.131602046,93
CA,Tustin,0680854-06059075506,680854,6059075506,19.7,2523,33.7425160181,-117.80910211,65
CA,San Francisco,0667000-06075025100,667000,6075025100,19.8,3077,37.7439369913,-122.407673411,86
CA,Oakland,0653000-06001408300,653000,6001408300,29.2,4167,37.7710979965,-122.164516762,38
CA,Vallejo,0681666-06095252103,681666,6095252103,22.5,5180,38.104704287,-122.194749655,3
CA,Anaheim,0602000-06059086303,602000,6059086303,20.0,6212,33.8118445726,-117.890747767,39
CA,Los Angeles,0644000-06037117202,644000,6037117202,21.2,2471,34.2429125234,-118.478867496,31
CA,Lynwood,0644574-06037541700,644574,6037541700,33.0,6366,33.917052444,-118.203353572,58
CA,Los Angeles,0644000-06037190520,644000,6037190520,28.5,3728,34.0999327912,-118.303804817,92
CA,Sacramento,0664000-06067004502,664000,6067004502,33.3,976,38.4985656659,-121.466186464,63
CA,Mountain View,0649670-06085509600,649670,6085509600,17.2,2625,37.3908176431,-122.08044815,98
CA,Los Angeles,0644000-06037113321,644000,6037113321,22.3,5473,34.2535731985,-118.591254644,74
CA,Stockton,0675000-06077000600,675000,6077000600,35.9,2279,37.9483460958,-121.273110597,62
CA,Los Angeles,0644000-06037104704,644000,6037104704,30.6,4219,34.2625316415,-118.408863695,33
CA,Orange,0653980-06059021920,653980,6059021920,16.7,1673,33.8317733235,-117.771141137,8
CA,Fresno,0627000-06019004408,627000,6019004408,21.4,3517,36.8617231869,-119.794980517,29
CA,Folsom,0624638-06067008210,624638,6067008210,22.7,5472,38.7035667655,-121.175849176,37
CA,Los Angeles,0644000-06037239202,644000,6037239202,37.1,4724,33.9856781926,-118.264976488,73
CA,Pomona,0658072-06037403200,658072,6037403200,36.7,391,34.0393911761,-117.812694671,8
CA,Riverside,0662000-06065030603,662000,6065030603,23.5,2978,33.9557502054,-117.361185644,8
CA,San Jose,0668000-06085512024,668000,6085512024,22.1,4670,37.2604228229,-121.867035433,60
CA,Fresno,0627000-06019002906,627000,6019002906,29.5,5520,36.7613332262,-119.727278653,44
CA,Bakersfield,0603526-06029002818,603526,6029002818,26.5,3761,35.3323458474,-119.08522876,31
CA,Los Angeles,0644000-06037115202,644000,6037115202,21.1,4828,34.2338376263,-118.537775488,76
CA,San Jose,0668000-06085503306,668000,6085503306,22.0,4311,37.3314080435,-121.822134794,27
CA,Fontana,0624680-06071002306,624680,6071002306,28.4,2798,34.1286776196,-117.429466229,32
CA,Murrieta,0650076-06065050700,650076,6065050700,24.1,6791,33.6174495001,-117.162434505,8
CA,Inglewood,0636546-06037601002,636546,6037601002,34.1,5311,33.9565607226,-118.34759313,85
CA,Modesto,0648354-06099002501,648354,6099002501,31.7,62,37.6012573613,-120.983638402,34
CA,Menifee,0646842-06065043235,646842,6065043235,25.2,253,33.6364826179,-117.126567517,1
CA,San Diego,0666000-06073003211,666000,6073003211,22.5,3165,32.6775705811,-117.054767543,43
CA,Corona,0616350-06065041806,616350,6065041806,24.0,4255,33.8513314377,-117.587195131,28
CA,Turlock,0680812-06099003904,680812,6099003904,31.7,3853,37.4938032427,-120.838692477,84
CA,Bakersfield,0603526-06029002400,603526,6029002400,35.8,3231,35.3270440354,-118.960723831,0
CA,San Francisco,0667000-06075025800,667000,6075025800,18.8,1960,37.721620193,-122.402001993,79
CA,Inglewood,0636546-06037601211,636546,6037601211,37.5,2823,33.9623830169,-118.357722038,89
CA,Bakersfield,0603526-06029002815,603526,6029002815,32.4,4282,35.3286335504,-119.048102811,53
CA,Los Angeles,0644000-06037232120,644000,6037232120,38.5,5263,33.9996748522,-118.283931463,73
CA,Los Angeles,0644000-06037203710,644000,6037203710,33.4,3259,34.0498931974,-118.200932217,85
CA,Vista,0682996-06073020019,682996,6073020019,22.6,325,33.1347377752,-117.22397291,51
CA,Los Angeles,0644000-06037192410,644000,6037192410,21.0,3628,34.0798577529,-118.318100781,74
CA,Clovis,0614218-06019005704,614218,6019005704,26.9,5542,36.8160111923,-119.691083049,62
CA,San Jose,0668000-06085504314,668000,6085504314,16.4,4753,37.4018261132,-121.854824491,36
CA,Sacramento,0664000-06067007017,664000,6067007017,22.5,2563,38.6270298419,-121.532157299,8
CA,Palmdale,0655156-06037910605,655156,6037910605,31.4,4535,34.5692957517,-118.067168496,17
CA,Livermore,0641992-06001451506,641992,6001451506,23.3,3138,37.6833515936,-121.729186391,28
CA,Berkeley,0606000-06001422600,606000,6001422600,8.7,1215,37.8738125369,-122.254546958,71
CA,Oceanside,0653322-06073018509,653322,6073018509,28.0,4968,33.1995449241,-117.360684392,60
CA,Santa Rosa,0670098-06097151504,670098,6097151504,19.6,3563,38.4360659725,-122.667741987,52
CA,Bellflower,0604982-06037554204,604982,6037554204,31.3,4391,33.8847474723,-118.128584055,88
CA,Bakersfield,0603526-06029000506,603526,6029000506,24.8,2713,35.3971769349,-119.085348324,51
CA,Santa Clarita,0669088-06037920043,669088,6037920043,21.6,532,34.3906305713,-118.438046345,0
CA,Orange,0653980-06059076103,653980,6059076103,25.2,1278,33.7892853867,-117.90050863,67
CA,Los Angeles,0644000-06037242200,644000,6037242200,35.6,6554,33.9486636657,-118.239184253,65
CA,Antioch,0602252-06013307101,602252,6013307101,31.0,4166,37.9865795317,-121.815592406,42
CA,San Diego,0666000-06073002712,666000,6073002712,28.2,4652,32.7297174853,-117.073330316,11
CA,Westminster,0684550-06059099803,684550,6059099803,16.3,5762,33.7557049625,-117.980938424,82
