,State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
1159,TX,Austin,4805000-48491020405,4805000,48491020405,31.2,30.44825563,-97.79428965,67
1160,TX,Austin,4805000-48491020408,4805000,48491020408,32.1,30.4608132,-97.78711469,61
1161,TX,Grand Prairie,4830464-48113015800,4830464,48113015800,38.6,32.75965445,-96.94295521,1
1162,TX,Houston,4835000-48201453200,4835000,48201453200,36.7,29.68202118,-95.56448477,54
1163,TX,Dallas,4819000-48113007809,4819000,48113007809,30.0,32.85993326,-96.7400832,59
1164,TX,Dallas,4819000-48085031706,4819000,48085031706,22.8,32.99323952,-96.82138497,42
1165,TX,Corpus Christi,4817000-48355002500,4817000,48355002500,33.4,27.73774237,-97.37755576,69
1166,TX,Dallas,4819000-48113012500,4819000,48113012500,33.6,32.82964081,-96.66721067,48
1167,TX,Houston,4835000-48201310100,4835000,48201310100,37.6,29.75452631,-95.34333931,79
1168,TX,Fort Worth,4827000-48439102000,4827000,48439102000,28.3,32.74975924,-97.35739956,77
1169,TX,Dallas,4819000-48113006900,4819000,48113006900,40.9,32.76225284,-96.86640377,24
1170,TX,Laredo,4841464-48479001811,4841464,48479001811,37.2,27.48801662,-99.45605676,41
1171,TX,Round Rock,4863500-48491020704,4863500,48491020704,36.7,30.50360236,-97.66741567,37
1172,TX,San Antonio,4865000-48029151100,4865000,48029151100,37.0,29.36207737,-98.53068264,74
1173,TX,Longview,4843888-48183000600,4843888,48183000600,28.6,32.54553761,-94.77942542,16
1174,TX,San Antonio,4865000-48029180201,4865000,48029180201,38.3,29.47780829,-98.53294421,66
1175,TX,Mesquite,4847892-48113017703,4847892,48113017703,37.2,32.78576087,-96.61715146,38
1176,TX,San Antonio,4865000-48029181815,4865000,48029181815,25.6,29.55125468,-98.5943597,3
1177,TX,Austin,4805000-48453001782,4805000,48453001782,19.3,30.42937365,-97.79302688,0
1178,TX,Dallas,4819000-48113013606,4819000,48113013606,30.1,32.95607563,-96.79526737,32
1179,TX,Houston,4835000-48201411600,4835000,48201411600,23.3,29.73547113,-95.45374649,69
1180,TX,San Antonio,4865000-48029180501,4865000,48029180501,36.5,29.47020781,-98.58963281,30
1181,TX,Houston,4835000-48201313900,4835000,48201313900,24.0,29.69186749,-95.38390264,40
1182,TX,Abilene,4801000-48441011500,4801000,48441011500,31.2,32.44127381,-99.76485459,59
1183,TX,Denton,4819972-48121020504,4819972,48121020504,33.0,33.26752463,-97.11635008,5
1184,TX,Dallas,4819000-48113006402,4819000,48113006402,37.7,32.7274496,-96.87343397,73
1185,TX,Lubbock,4845000-48303001501,4845000,48303001501,26.0,33.5741816,-101.8790933,60
1186,TX,Houston,4835000-48201320602,4835000,48201320602,40.6,29.6780005,-95.25845644,56
1187,TX,San Antonio,4865000-48029121903,4865000,48029121903,24.9,29.62128081,-98.43167076,2
1188,TX,Corpus Christi,4817000-48355005801,4817000,48355005801,32.0,27.86583431,-97.64985333,11
1189,TX,Abilene,4801000-48441012100,4801000,48441012100,48.3,32.41954098,-99.71675292,1
1190,TX,Lubbock,4845000-48303010200,4845000,48303010200,34.2,33.63354267,-101.8047194,0
1191,TX,Corpus Christi,4817000-48355003204,4817000,48355003204,32.3,27.6814969,-97.35735237,34
1192,TX,Fort Worth,4827000-48439104604,4827000,48439104604,48.2,32.71181104,-97.28861138,58
1193,TX,Baytown,4806128-48201254100,4806128,48201254100,36.0,29.74638046,-94.95586391,60
1194,TX,Arlington,4804000-48439122002,4804000,48439122002,40.5,32.73157046,-97.07139137,50
1195,TX,Dallas,4819000-48113010803,4819000,48113010803,34.4,32.69874846,-96.87773108,28
1196,TX,Grand Prairie,4830464-48113016406,4830464,48113016406,34.3,32.70339127,-97.00984435,54
1197,TX,Fort Worth,4827000-48439102202,4827000,48439102202,26.2,32.73944086,-97.39510432,85
1198,TX,Longview,4843888-48183000800,4843888,48183000800,35.9,32.52312922,-94.81480629,17
1199,TX,Houston,4835000-48201211400,4835000,48201211400,40.9,29.76588059,-95.32816441,38
1200,TX,El Paso,4824000-48141000207,4824000,48141000207,36.6,31.90373192,-106.3965237,37
1201,TX,Fort Worth,4827000-48439123100,4827000,48439123100,48.3,32.73859752,-97.30869537,41
1202,TX,Austin,4805000-48453001504,4805000,48453001504,21.2,30.34654717,-97.72508867,71
1203,TX,Pasadena,4856000-48201322900,4856000,48201322900,37.8,29.70347261,-95.1943059,43
